,aback,about,above,across,after,against,ahead,along,among,apart,around,as,aside,at,away,back,before,behind,below,between,beyond,by,down,even,for,forth,forward,from,in,into,it,of,off,on,one,onto,open,out,over,past,round,through,to,together,toward,towards,under,up,upon,way,with,without
show,1,331475,4375,2068,96233,6406,1129,6644,1533,2867,25068,411553,2809,346118,2722,60895,103505,5082,2272,6760,4561,95795,28613,67802,939921,732,1239,168964,962533,22400,1271538,576899,1285536,799510,66126,1871,3192,67789,41119,4001,540,64761,701574,29237,967,5210,11596,6874836,981,10490,547960,68313
shrink,0,3419,20,86,3579,115,28,353,23,7,898,11650,9,5027,4938,12109,1323,106,239,354,169,5090,17975,2190,6398,0,6,7833,22703,4502,31120,2054,415,5017,828,86,11,1720,4750,168,6,308,27412,188,65,163,685,5156,109,203,5589,676
shrug,0,1071,3,9,681,28,0,63,9,1,21,3098,119,9417,761,208,805,19,0,14,0,292,131,81,866,0,23,1951,1893,143,113718,6328,92748,769,238,8,2,339,368,62,2,98,1974,15,23,92,41,655,16,21,1682,143
shuck,0,28,2,0,18,1,2,3,0,1,18,80,3,115,56,24,18,1,1,35,0,49,23,9,182,0,1,41,177,23,3523,84,704,192,98,0,11,341,17,0,0,4,144,2,0,0,9,130,1,2,113,41
shudder,0,459,7,22,262,53,1,44,6,3,75,2235,1,27912,98,97,530,7,9,22,3,133,463,660,1418,0,5,952,4764,72,155,1567,21,712,29,4,30,109,192,6,1,577,71912,17,4,7,213,112,56,9,2641,47
shuffle,0,1145,27,971,2942,136,38,2316,102,7,16649,3676,64,3574,4136,5293,1533,296,14,3067,5,1797,1235,396,7161,17,853,2553,12858,3891,17093,8580,7532,9795,1498,193,12,3199,2381,850,184,8508,10863,340,193,801,203,6188,38,120,6069,991
shut,0,35297,73,111,5200,770,26,156,21,43,2494,11797,46,9526,3237,1045,4232,9346,29,350,226,5726,3200074,1465,26367,2,4,5801,72860,868,534902,7263,462580,21575,4446,94,122,191116,1410,34,14,503,15297,576,10,47,443,3189854,176,138,17615,1411
shy,0,138376,88,4,2492,239,7,28,97,8,18968,17890,9,20170,247112,1852,1226,113,32,28,43,2432,177,1251,9005,1,10,13219,24076,159,2339,273088,946,9365,5855,4,20,701,1062,30,18,141,139480,158,121,981,378,341,57,1092,16344,321
side,0,21158,3641,3152,39387,42603,713,6733,514,1227,6838,319159,769,137451,7330,9730,45038,6383,2271,8152,879,715869,69966,26146,411413,13,1678,79694,431616,20019,185816,13013429,14326,207806,25742,2197,5826,45389,33382,1130,569,16883,1099817,3434,2581,8859,13968,143384,586,4472,1098030,46777
sift,0,32,2,6,46,2,0,4,10,15,468,146,4,123,133,163,98,4,2,215,7,72,162,9,1171,0,2,221,1109,243,2684,109,58,164,36,15,1,6058,143,204,1,179504,731,1642,4,18,8,40,0,6,237,30
sign,0,15580,16739,1758,14388,1832,958,2343,394,116,9792,49135,181,99381,38495,29690,21930,8381,3067,3088,152,18268,51758,5249,377448,0,176,57585,572813,88228,286568,2097653,200773,373203,35613,13040,305,87496,36868,224,162,1468,201404,791,195,1190,4939,2410170,918,650,311814,7180
silt,0,6,5,10,38,3,0,29,2,0,41,157,0,395,24,12,36,32,14,22,2,62,65,25,208,0,1,865,1285,202,105,244,52,531,11,23,1,371,72,1,1,61,511,1,1,1,30,397,7,3,163,12
simmer,0,741,7,7,249,6,1,54,10,1,114,583,1,1031,569,151,537,16,55,64,2,100,50452,53,48814,0,0,121,7909,223,7636,422,304,7653,113,1,1,410,2028,1,0,88,2118,412,2,11,253,180,2,20,2848,231
sing,0,62284,528,122,1782,340,21,149833,118,22,1834,13500,21,29476,650,1968,2326,134,191,142,97,4290,610,1599,48084,22,32,6029,91079,4167,151514,9048,3741,19610,6584,32,46,10233,6393,189,35,2972,66512,7084,17,88,661,7799,68,545,40169,5236
single,0,1691,562,117,11127,790,107,340,133,51,988,19899,106,36057,1588,6790,7330,238,219,701,193,16286,7267,3397,159089,8,1553,34670,59234,3003,13526,40553,14313,36671,1646323,77,5157,155848,4609,2111,61270,1682,36320,802,20,73,1219,4464,70,85248,37373,4298
sink,0,1648,309,209,7870,267,42,628,50,182,693,16386,48,21301,1051,10116,7289,940,3448,605,109,3444,14113,4623,51368,1,41,5962,390613,100137,30586,14411,2500,17347,4104,577,170,3192,2568,240,19,3576,114794,905,145,546,3045,2859,107,767,43365,4458
sit,6,12994,7532,15220,4729,5424,191,2616,1586,1222,578102,26836,1701,573505,4374,890902,9712,82902,4014,16946,194,101949,2385307,2382,390475,7,1785,5942,1999390,2776,44606,1885,5373,2053220,10564,290,1777,200200,22229,332,1287,363643,39534,34698,339,1536,36329,183319,8263,4061,312998,9086
size,0,3092,3500,2473,15073,3258,347,2031,1091,470,5620,351449,1447,66671,687,4762,20931,603,7804,14021,1127,45449,126657,10275,350449,0,59,57732,229612,8263,97196,4240232,4258,106480,25716,506,523,5870,17347,446,829,3440,363554,591,78,297,3903,196743,449,1591,83220,19777
skate,0,520,89,1563,1369,437,71,1079,27,12,16095,5471,17,9713,4694,2454,1507,687,43,297,38,21510,3273,466,11110,0,787,2096,24207,4080,8474,1116,3807,27023,876,263,38,4596,3537,1794,82,8184,16957,955,145,781,660,3527,35,263,23121,2238
sketch,0,12200,242,22,1072,58,39,202,22,9,567,10834,34,5267,193,422,2720,80,116,136,30,5022,495,554,19820,0,6,14750,30760,1034,11294,64862,381,19729,1139,296,60,19985,1104,66,3,154,17423,405,16,32,156,8681,28,223,15039,985
skin,0,5357,4259,967,35001,5461,116,3676,523,1729,50841,119582,932,57086,4787,21974,29497,3049,3811,11373,608,27486,10033,16704,365876,1,628,119872,313413,12957,58190,202724,152201,277531,6677,1890,2978,33950,27438,469,207,6718,286714,2799,164,747,19144,17879,802,2076,157451,22481
skive,0,5,0,0,0,0,0,3,0,0,7,19,0,40,5,2,2,0,0,0,0,21,72,1,43,0,0,24,40,0,149,14,976,50,4,1,0,22,6,0,0,6,42,0,0,2,3,4,0,0,40,0
slack,0,2545,90,52,1936,235,11,136,22,6,2006,8983,6,7412,126,503,1658,324,42,1078,34,2556,253,927,46290,0,10,8339,36455,746,2319,7126,76873,32835,311,45,214,10426,1234,24,10,753,19252,74,27,127,236,1130,12,121,9220,890
slacken,0,3,0,1,16,1,0,0,0,0,4,62,0,16,0,5,6,0,0,1,0,7,2,11,17,0,0,10,64,6,116,6,339,26,2,0,0,57,20,0,0,2,22,1,0,1,1,90,0,0,15,1
slag,0,70,7,15,135,114,6,41,3,6,114,754,3,619,84,93,220,81,5,27,1,273,112,67,1949,1,2,1907,2394,384,1613,1321,12370,3278,627,25,0,402,180,4,7,130,1808,15,7,9,97,95,9,8,1119,103
slam,0,490,52,128,1671,8555,22,72,15,12,773,4807,32,6117,1064,3788,1500,804,20,172,8,3289,17698,540,8926,2,757,4565,21676,54282,53488,6124,1973,103521,2689,1509,1642,3026,1276,142,41,3079,14448,1179,34,205,157,924,31,111,8210,903
slant,0,188,35,340,209,1659,1,36,49,1,50,1582,53,1419,211,583,210,83,12,81,13,488,605,166,2589,0,106,1423,6845,734,2408,9251,127,14253,514,59,47,333,632,9,8,69,16055,7,1179,4278,67,335,18,42,1596,142
slap,0,463,21,7339,970,3466,5,45,8,11,4554,3445,106,7290,1795,5680,851,115,19,215,13,1710,14042,479,7237,0,51,7665,262464,2457,85517,11309,805,322807,8281,2999,101,1926,1040,229,557,323,48371,12253,27,140,89,3780,83,106,6313,374
sleep,0,16505,937,905,87457,1639,442,1217,495,1712,103784,103207,215,560254,9943,4104,60631,1606,348,10844,415,46901,1711,13906,371418,2,45,36506,983319,3424,74238,20704,11984,711360,13527,188,75,10996,211893,7858,258,132602,109184,42662,67,328,32887,5708,660,4558,1312821,84773
slice,0,709,214,1569,2307,768,26,609,28,557,833,4097,29,8782,1577,978,1736,145,73,710,9,2439,2731,386,10557,0,53,8258,20810,10870,151686,934549,18099,11905,2300,277,7209,5917,1020,50,35,23112,12396,174,49,166,352,24473,38,76,10936,981
slim,0,393,58,47,971,148,3,92,23,39,773,17165,29,10273,35,1046,792,42,126,132,28,1974,37204,1443,18337,0,19,2954,14763,184,9368,3214,574,8197,7283,6,26,1186,903,41,53,967,101342,25,24,72,177,1838,10,195,10674,1417
sling,0,443,42,361,619,198,10,76,7,13,5129,2806,11,4131,176,1174,534,68,11,111,6,469,156,156,12672,4,54,2108,3845,427,20346,1162,853,7778,702,158,52,1859,1655,49,43,584,7892,235,17,64,396,545,10,43,4118,301
slip,0,2515,146,835,2181,949,197,520,98,293,8183,6803,145,10400,75091,32761,2286,2898,1622,7043,227,43910,15546,2177,34450,13,916,20338,122338,127560,48827,66963,44369,94514,7712,1878,286,94130,10101,21126,89,130900,33394,217,223,848,15891,200203,75,423,10325,1278
slob,0,298,6,8,240,7,2,9,6,1,468,658,2,1143,16,62,302,71,3,11,3,397,63,157,1612,0,0,408,3530,127,378,2985,84,10075,36,5,3,441,248,3,7,22,1941,5,1,0,12,74,10,15,3304,231
slobber,0,46,0,9,45,4,0,6,0,0,52,165,3,218,32,12,40,10,0,8,0,29,82,8,139,0,1,389,423,66,228,210,432,5100,6,26,1,118,2415,0,0,17,202,3,0,1,16,202,11,6,103,5
slope,0,499,396,139,1242,196,199,207,23,3,403,6311,56,7630,1558,1344,1271,444,248,2325,64,1619,5494,496,15123,0,79,9567,14057,7322,3767,75689,833,9108,502,143,46,561,912,70,3,247,56409,89,2114,7127,241,1915,48,155,9197,1026
slosh,0,230,0,15,14,41,1,8,1,4,4071,80,1,79,60,338,7,3,1,21,1,16,76,9,83,0,54,86,351,117,1611,658,53,152,22,32,1,519,275,4,8,381,233,18,6,12,9,97,0,3,57,5
slough,0,18,1,4,29,0,4,9,0,5,27,111,2,93,357,14,19,10,0,8,1,45,39,13,239,0,4,140,454,34,615,3959,8887,160,14,8,4,85,29,1,0,606,462,4,1,5,4,15,0,3,99,20
slow,0,9283,179,903,15151,6554,564,676,253,71,5855,334475,139,151059,189,7558,7230,851,377,1495,292,20546,2039121,16415,262561,2,729,28424,189005,2672,257088,15566,6493,175836,24319,354,526,6382,8827,716,1103,5031,605943,322,142,1011,1264,12326,320,27407,107380,9199
smack,0,31342,33,1759,1117,2360,2,48,8,8,4340,1859,45,3286,1116,1590,883,671,12,1000,3,622,49449,247,4131,0,18,2545,62234,14238,37138,15259,774,25962,2052,273,83,800,688,64,212,400,17603,639,11,73,104,1757,37,65,5080,358
smarten,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,2,0,3,0,0,0,3,0,248,0,5,2,3,0,0,3,0,0,0,0,7,0,0,1,0,26720,0,2,1,1
smash,0,522,78,157,3085,3695,58,254,79,721,989,16487,209,12596,1678,1726,4761,193,35,294,76,3148,7167,1989,29678,1,125,5225,30525,40463,116214,3259,1274,27870,7507,451,2557,11617,2331,343,88,26721,26548,3627,19,94,279,28894,137,367,29332,2804
smoke,0,16414,968,776,26007,848,215,1128,166,73,27285,51768,186,91472,9090,4068,39276,3690,209,2795,145,12975,6828,8669,87356,2,114,96731,284004,26884,321232,26461,10878,122740,38941,839,79,92380,7544,586,848,14143,101098,8675,447,1576,2792,81543,447,5791,126588,19595
smooth,0,3308,151,532,6806,535,7,386,20,163,1228,254575,242,22729,625,1999,3135,147,133,882,92,4541,4435,7324,47451,1,166,6075,29090,705,72409,4252,1716,50273,6933,75,273,121408,20578,99,1846,1288,34903,272,9,74,1071,2220,80,7279,42205,5797
snaffle,0,0,0,0,3,0,0,0,0,0,2,20,0,19,5,2,1,0,0,1,0,6,4,0,33,0,0,15,25,2,86,5,4,29,31,0,0,4,0,0,0,0,17,0,0,0,1,103,0,0,52,9
snap,1,1643,144,257,4756,1451,40,466,60,833,2236,9848,37,63927,4826,68314,4219,549,83,929,48,3154,3433,1432,19198,7,883,14149,55192,22363,57524,66775,31240,66104,11343,3927,2797,116815,3533,137,91,1035,73373,10255,72,437,4225,21665,159,314,16540,2485
snarl,0,117,2,14,52,15,5,4,4,0,23,636,6,3326,10,136,127,47,0,10,1,48,29,25,278,1,0,297,797,61,111,1533,20,871,17,4,0,86,58,1,0,36,604,5,5,14,23,401,8,1,281,20
sneak,0,1830,142,6929,356,264,727,695,43,3,82711,2456,9,2641,26166,16962,392,13032,125,607,23,16167,5649,341,3225,4,254,2391,250445,158503,45764,961,25354,15601,9912,9170,94,83953,9762,35896,533,26415,14810,65,100,518,4044,206911,529,187,3517,493
sniff,0,503,17,15,572,34,13,73,1,8,11282,1189,4,13682,591,214,1397,54,8,195,5,167,177,221,4764,1,3,1081,2667,226,32048,19388,408,2046,1098,7,20,37424,216,33,69,852,2538,22,8,38,282,952,25,21,818,544
snitch,0,985,17,10,295,122,6,8,57,1,98,823,4,1259,140,139,413,51,6,11,5,514,76,282,2776,0,0,910,8245,89,497,647,63,30699,143,7,8,1003,240,6,4,32,5447,9,1,6,82,199,16,30,748,189
snuff,0,136,4,9,278,165,5,15,6,0,92,1554,7,1506,30,76,696,12,2,20,2,2160,37,163,5997,0,0,396,3622,78,10314,430,67,4158,162,8,8,26529,83,3,2,39,2960,11,2,1,32,131,5,18,5332,171
soak,0,522,31,16,1071,136,21,47,5,4,128,3180,6,1997,392,421,2283,51,18,158,9,456,658,283,32396,0,0,1202,133052,16873,105215,1556,1819,3046,1226,83,14,746,1508,33,2,10324,4619,128,1,11,258,198072,13,94,7236,450
sober,0,2217,35,10,7691,60,21,93,109,46,3025,19379,101,19711,48,426,6134,188,2,184,36,7570,183,1831,114557,1,5,14452,25920,155,6989,1951,1679,14653,11223,3,16,642,2423,113,42,3022,21595,1117,2,35,495,82724,60,988,12380,4652
sock,0,169,99,78,1078,155,3,81,12,25,1775,2953,53,3052,7695,951,1344,246,27,350,6,660,1354,172,7990,0,9,3772,24871,1419,9840,3723,4331,23962,741,203,54,1958,6345,11,31,211,10859,47,3,27,1994,1208,43,40,9774,468
sod,0,182,33,10,229,10,2,42,1,7,148,486,4,714,35,216,222,84,11,34,2,167,743,95,1529,0,2,785,3000,258,7816,798,28573,1926,62,42,8,580,657,1,2,33,2396,18,0,6,66,203,4,11,1253,119
soften,0,42,11,4,535,18,4,10,5,0,197,1115,0,737,20,165,375,1,9,23,2,277,157,247,570,0,1,217,1589,264,27190,43,37,1211,203,0,0,609,1340,3,0,35,1334,7,75,278,108,38004,11,14,1541,95
soldier,2,1477,395,292,3591,1473,109,322,402,73,807,14235,81,13544,335,2127,3553,1802,135,241,84,8131,1336,1812,29519,121,188,20542,110047,3187,3769,44401,1060,54072,3101,180,54,4062,2223,150,49,7389,49440,150,22,118,1961,2067,88,200,45722,3044
sort,0,2456,209,163,5348,931,46,459,203,79,1506,11522,141,8869,246,758,4768,406,94,3112,309,473356,562,1461,31910,16,12,9886,40230,4607,305373,29741765,7173,24574,2069,169,111,486554,1747,183,110,154369,73595,308,70,298,933,894,117,422,17593,1919
sound,0,43102,2301,2007,16150,1737,271,1954,366,490,6840,374816,615,123598,1198,9048,17786,3791,937,7916,1692,24940,10868,51791,152635,16,1233,154030,323146,14965,96522,1843326,75993,184745,10681,650,1404,69845,19999,368,231,24664,324587,3688,335,1199,2868,14241,1163,48892,103437,19193
soup,0,450,96,98,2578,76,117,295,54,15,624,8379,81,14830,270,1194,4080,178,93,201,17,3549,1003,642,56468,0,6,15164,39643,4183,3690,27145,907,16896,1489,421,31,8092,2900,35,17,839,23282,530,16,72,266,2840,48,128,60408,3530
spaff,0,5,1,2,2,0,0,0,0,0,0,4,0,17,26,0,1,0,0,0,0,1,6,2,5,0,0,10,71,19,90,3,28,185,4,2,1,45,42,0,0,3,8,0,0,0,0,45,1,0,12,0
spark,0,618,100,329,1867,512,8,156,104,22,399,5368,25,5905,627,6849,1371,439,14,4460,48,2360,235,1177,21157,4,20,10059,29222,2328,9241,77412,6976,10043,3605,95,93,2448,815,19,9,486,29602,284,33,190,724,25052,96,139,13181,813
speak,0,400900,1629,612,7116,51025,135,764,653,121,2727,116702,293,125477,427,6156,14842,634,97,1146,1313,10575,6808,6148,2357381,178,36,250930,403195,13857,227593,1063078,9558,306805,19751,83,273,427752,14624,717,39,15436,2550238,1391,1096,4875,1942,587115,1178,2749,749008,27677
speed,1,4018,6582,6547,25182,5777,25255,9808,932,381,17276,206190,818,229588,11383,20668,25059,2692,3091,17586,1802,85956,38650,16271,262187,31,1640,92137,285711,34356,190394,1629049,21879,319910,12220,1363,558,17439,39928,10984,2000,60374,433038,854,2735,9777,6504,899793,1191,4119,211190,34431
spell,0,775,623,246,7961,4483,170,696,126,97,1408,34415,214,40639,1002,3542,12797,383,263,1183,342,11365,1179,4092,88625,14,58,38840,111486,8102,528888,59748,5541,104440,3348,1144,118,157119,6710,282,51,2811,150312,601,70,407,1302,3283,1145,400,59839,9796
spew,0,4390,12,97,277,308,3,16,5,2,452,1740,8,3528,118,511,275,22,17,32,7,147,126,310,727,5373,41,3638,3074,1931,7411,4084,2021,4671,277,391,16,44011,618,2,3,105,2379,14,61,311,45,920,55,34,585,317
spice,0,169,21,53,936,37,9,153,34,7,247,3614,30,3084,116,765,1054,120,10,118,35,998,663,287,8404,0,230,5192,19603,2014,72128,48325,291,8674,1085,125,11,1139,576,22,26,168,32975,96,20,74,147,91608,27,71,4805,678
spiff,0,16,0,0,11,0,0,1,0,1,4,56,0,43,2,7,12,0,2,4,1,14,1,6,353,0,0,130,130,26,589,64,26,291,37,0,0,23,13,0,0,0,142,1,1,0,1,1053,0,0,81,1
spike,0,985,1365,299,8534,761,53,320,162,17,3988,11959,50,25881,234,2675,3380,216,139,1645,143,3397,2661,1890,20020,0,41,20467,217625,4429,18325,32357,1275,25718,1389,146,15,2675,2926,296,28,5451,31990,129,88,474,572,19925,282,805,14177,1167
spill,0,1589,40,553,489,192,8,115,4,8,399,2069,7,2733,262,589,640,76,17,136,74,815,1279,619,1789,949,93,4903,15235,13428,32502,4505,1771,16138,807,3356,172,41845,48512,83,8,727,4709,29,21,53,252,488,88,671,1733,300
spin,0,4553,324,482,4903,1795,85,1105,55,202,85629,20434,171,32910,5318,5327,4936,540,179,581,89,8241,15232,2535,30281,18,530,12646,69216,13007,311951,35009,210295,300495,5506,1126,110,55635,2646,629,2946,4468,82036,793,259,1279,1436,118171,210,710,20120,3948
spirit,0,2220,388,222,4331,1607,73,492,1349,104,1505,29712,101,12999,2245,3994,4794,5421,69,671,261,11068,1475,2518,29915,24,823,18414,85056,9373,9447,1124197,628,19397,2354,346,113,5336,3095,65,97,4405,89072,446,148,529,651,5110,1523,363,26745,2865
spit,0,1186,102,313,1512,202,8,90,24,72,654,4500,12,28469,409,14955,1257,141,23,808,5,1089,1393,291,5260,153,38,5109,165111,14400,118630,6147,3363,248891,1267,1233,94,265067,4728,37,14,987,9645,105,58,288,269,36755,3678,124,5035,1200
splash,0,1370,84,542,977,1186,7,120,86,23,8375,5496,24,7028,414,13303,1129,440,37,99,39,1757,4099,644,21175,3,31,7072,33184,5038,10677,164912,1876,22376,1055,1974,54,19371,1888,66,27,1942,10710,122,21,99,164,2859,208,144,13045,652
split,0,11303,441,20793,13728,3976,292,9116,28584,28178,3446,29792,161,30048,5498,4758,10581,526,221,353724,144,37085,32831,6390,52581,6,60,78588,252490,343536,302131,82445,97408,121357,14154,1228,34077,20749,26175,690,319,2499,54997,906,129,710,1432,586436,690,635,115477,4268
spoil,0,596,9,6,769,22,84,22,1,4,47,2403,11,1223,1551,172,1843,5,16,30,91,1040,17,710,8352,1,0,695,6065,132,188483,2996,22,1531,1809,9,6,216,419,125,6,130,2207,7,1,11,65,201,9,290,1637,405
sponge,0,158,46,143,1198,242,6,113,11,18,740,2734,14,2217,188,320,1134,154,28,266,18,663,417,262,12860,0,19,2782,13136,1306,2454,3148,6575,9840,382,206,13,5785,2065,10,48,211,18258,46,5,24,739,2774,24,65,9898,421
spread,0,31402,554,182030,4223,2990,139,3848,17513,21367,144800,41949,65,19077,1009,3058,5263,660,267,30711,6979,109585,3409,8746,39926,408,127,48743,81439,25656,325000,382717,1360,94086,3316,3824,15406,868590,119570,1424,571,75772,258960,266,220,941,1773,6226,792,3144,28896,5483
spring,0,1520,309,442,7509,526,718,709,57,334,2382,15606,68,12251,573,20875,7226,986,203,1038,55,6428,1771,1140,138677,5795,6546,29015,70677,17958,22468,84732,3820,28773,4174,467,1749,17091,2734,155,163,3649,126318,375,73,320,2725,69993,573,239,24834,2356
spruce,0,22,3,7,23,4,1,9,1,3,61,260,1,172,4,48,36,10,5,41,0,151,19,10,680,3,1,247,942,36,9290,196,19,354,102,4,4,50,69,4,3,5,580,6,0,3,12,20593,1,18,364,14
spur,0,53,22,17,112,20,4,177,7,4,36,411,1,606,23,83,88,54,16,88,8,134,97,288,1968,26,44,1069,2723,384,1163,96441,861,8850,443,23,30,373,105,12,1,72,3205,9,23,48,58,997,6,23,459,42
spy,0,648,106,112,1707,1183,49,133,1308,25,1428,6815,18,6304,287,1151,1558,1185,79,134,26,4658,1155,1004,31323,0,7,10231,41465,2431,1948,3347,325,297045,1936,87,125,1790,1578,67,297,1078,24061,60,6,43,514,1079,700,159,27189,1558
square,0,2135,1339,987,3941,1280,149,627,128,162,7974,17523,41,21437,6694,2421,4128,1400,832,3168,342,8545,1497,1532,39302,1,329,9287,148005,5872,18685,96127,23860,66902,208150,503,400,4341,3736,135,226,1271,72596,351,84,373,1480,50412,114,336,70854,3201
squeeze,0,1206,70,86,598,577,135,164,13,17,2465,24295,7,5798,676,2195,2047,642,58,5997,20,10997,5666,2595,7811,5,65,6061,141444,38327,89638,25077,3888,18370,10620,1679,111,130690,1501,9445,56,28849,12056,2013,54,109,2122,1991,37,292,6284,384
squirrel,0,512,51,269,494,45,10,51,16,47,728,2267,19,2614,7888,454,1221,156,10,75,9,791,462,238,4207,0,6,4228,17949,1167,2307,926,688,9702,877,83,25,1958,845,13,38,247,7528,53,7,25,254,948,10,80,8589,361
stack,0,1669,2010,749,6102,6737,81,678,138,158,1778,34325,84,26981,933,2790,7320,1569,395,1391,589,7800,1532,3526,50688,4,151,14906,66426,6641,69099,597451,6526,83298,5767,2362,193,2980,5145,764,54,1055,63366,8057,91,520,1347,266332,1002,593,174136,4369
staff,2,18726,718,1537,9721,1968,360,1307,259,206,10189,51531,443,138396,1917,4020,9691,4363,762,1241,389,19086,2740,6164,120718,3,188,40149,140744,9061,14088,196882,2996,81854,2475,643,276,8958,10452,166,124,2863,299845,1778,155,651,4590,6439,378,466,59051,4558
stake,0,334,84,74,1188,617,13,222,41,24,262,6959,53,6007,175,1739,1173,159,32,657,203,4045,1103,586,39717,0,11,2676,303099,4045,9882,9877,219,9555,572,25,13,24506,1705,18,9,7598,18315,106,7,47,250,864,57,68,9803,973
stammer,0,216,4,2,58,6,2,19,0,0,161,470,0,326,24,182,99,4,1,13,0,36,34,43,881,6,1,121,757,56,112,71,49,741,59,2,5,3605,279,1,1,542,685,22,2,1,17,60,4,10,302,13
stamp,0,271,350,300,826,107,12,235,14,10,604,4072,27,5057,422,1302,1474,96,144,165,8,1283,3396,337,30020,0,17,9151,21128,1141,25363,52832,1033,87466,865,452,12,46890,1279,18,13,301,22241,38,14,54,393,451,313,48,7383,504
stand,9,23573,15955,3499,11948,209597,436,3843,3408,14316,167936,95173,19660,183439,5651,105410,41101,213568,1658,28832,404,1135261,90075,11656,1072982,452,594,20948,1065483,2573,396055,30467,45478,1210147,9295,441,1474,1331478,43041,293,383,3062,676582,46962,341,1392,28062,2801046,7026,3331,285842,16548
stare,0,213,136,688,1893,85,940,67,7,1,808,8509,8,836934,962,16391,1405,239,27,520,81,831,48395,718,14893,3,849,8490,32907,80616,4391,13281,12890,5948,351,100,225,17309,1250,482,6,3159,6164,75,118,596,81,7621,401,203,6997,1042
start,0,24947,3308,852,65184,32999,9957,3225,514,317,66943,307518,553,1278368,2334,81502,52776,4209,2545,9841,548,967662,36341,18366,367032,8,598,740502,760804,20590,636521,3581597,976319,763376,155885,315,2328,902197,820340,812,3116,4477,6407950,6720,2325,8324,7469,736388,920,6165,5610489,38321
starve,0,48,4,60,1258,18,2,178,21,4,232,3926,5,1968,237,112,3585,34,12,113,11,1533,202,866,14957,0,1,1949,22872,184,7888,863,1941,7914,474,1,8,9882,863,4,7,362,180925,24464,1,4,1617,86,10,63,2607,4612
stash,0,380,85,85,1989,67,38,246,58,22,695,5917,84,8174,7580,1228,3334,553,61,478,44,2020,880,633,23671,0,3,5182,29146,1533,25634,115465,486,9647,1749,150,198,1609,1036,26,13,344,17826,124,5,34,1603,1834,45,128,7553,1316
stave,0,9,16,5,23,28,3,9,2,0,34,229,2,176,701,82,40,6,4,6,0,31,33,19,537,0,1,224,747,82,4177,3037,106285,286,54,3,1,129,48,0,0,20,1241,91,1,2,17,32,2,1,336,34
stay,3,14105,57458,984,59878,2605,68807,3637,1397,4145,149573,300944,519,1497958,2094670,123907,5049,113678,41831,21132,3665,43988,80436,28327,414465,4,10906,9838,4486361,3852,11822,20697,289157,1836275,24281,286,127707,864216,87497,11685,1170,10888,94488,246359,655,2973,152064,971677,457,12154,1484554,11265
steal,0,1280,68,113,2231,1106,42,207,60,24,713,19702,42,45123,17357,8563,2009,113,89,132,56,7722,285,5564,77864,13,7,348327,35355,1256,373424,38888,4603,25900,48208,56,146,3033,2226,71,59,773,36703,133,8,52,728,1342,83,461,14155,3541
steam,0,8382,458,396,19431,958,32916,1037,399,150,3273,74246,196,37978,1126,4537,15710,1733,321,663,127,16785,3421,8182,157778,5,146,36529,102547,8384,48960,11542,8621,69126,9169,904,4994,12762,7526,341,34,6878,150759,619,354,1933,3328,8420,238,974,46602,10332
stem,0,568,522,102,1157,200,26,151,72,96,941,8995,47,5720,326,2812,1550,152,376,690,210,1822,2124,656,11542,42,38,332658,21687,3765,4139,20915,5710,10987,666,199,93,5122,1080,77,20,969,22456,179,44,194,537,1617,25,253,13057,1225
step,15,2579,119033,3743,46484,2601,114413,15927,384,1522,11902,34877,81603,201195,304685,1072787,40356,34796,38089,22171,24710,378005,435866,5676,213702,1816,347251,65021,1600874,282684,175637,414736,81882,583374,246672,21667,164,346527,77024,6472,200,44671,521103,1508,62347,214181,4301,1509105,923,4123,93675,8803
stick,0,4839,2077,2126,10983,4960,108,2270,228,388,991991,52679,244,99302,7386,14900,11528,5801,1106,7212,278,95397,20963,5562,147694,2,7519,37021,376242,31978,776296,241524,5506,191169,24986,6935,1034,419845,11461,846,533,31743,4235346,218744,918,4491,6116,265323,236,2299,3337849,8061
stiffen,0,2,1,2,50,38,0,4,0,0,14,377,0,164,2,69,41,6,5,12,2,7,6,40,91,0,0,67,395,83,2883,6,4,70,31,0,1,81,58,1,0,7,143,1,0,2,49,9828,10,1,141,9
stink,0,60834,12,36,3888,260,0,37,91,3,746,4441,16,10644,459,244,697,138,9,100,62,892,629,1267,6647,0,0,3512,8836,225,4960,36952,3251,11190,217,47,0,6365,9094,10,27,245,12980,88,8,38,149,28750,43,228,4037,453
stir,0,1454,21,44,1301,112,10,21,867,4,2250,2167,0,2348,548,416,1266,59,45,426,30,980,231,302,9356,21,1,1285,62075,3922,63253,4881,78,2196,503,4,4,364,1912,12,41,1714,14402,4420,5,46,62,217712,28,32,9029,252
stitch,0,316,191,526,1014,38,10,798,15,17,2007,3190,9,3509,334,1233,1410,58,431,402,15,1727,1704,206,7416,0,43,4321,20602,1669,21594,9268,620,12507,1579,431,35,1111,2638,26,76,1386,9267,12855,17,49,200,13133,83,51,5445,655
stock,0,2618,676,1003,12435,1634,840,1104,966,558,5820,59277,1162,124064,1640,10593,21994,898,606,1508,311,17710,6970,5832,187961,2,219,48356,374082,57719,58912,246346,7582,148362,63644,899,493,11314,8954,264,1189,4117,144376,623,48,254,2449,372256,417,1321,92343,8320
